Epoch	train_cost	val_cost	epoch_time	learing_rate
482	0.144698	0.137463	41.8676s	3.125e-05
483	0.144752	0.137249	41.9121s	3.125e-05
484	0.144528	0.137237	41.477s	3.125e-05
485	0.144516	0.13728	41.7906s	3.125e-05
486	0.144337	0.137376	42.5446s	3.125e-05
487	0.144504	0.137447	42.9575s	3.125e-05
488	0.144424	0.137191	43.5044s	3.125e-05
489	0.144772	0.137312	42.1273s	3.125e-05
490	0.144831	0.137242	42.2248s	3.125e-05
491	0.144639	0.137141	41.8818s	3.125e-05
492	0.144319	0.137216	41.9217s	3.125e-05
493	0.14475	0.137091	41.8748s	3.125e-05
494	0.1441	0.137176	42.333s	3.125e-05
495	0.144893	0.137357	42.1985s	3.125e-05
496	0.145015	0.137422	41.9713s	3.125e-05
497	0.144725	0.137295	42.0209s	3.125e-05
498	0.144751	0.137586	41.5736s	3.125e-05
499	0.144476	0.137422	41.758s	3.125e-05
500	0.144234	0.137355	41.9334s	3.125e-05
501	0.144384	0.137308	42.1822s	3.125e-05
502	0.144638	0.13741	42.0118s	3.125e-05
503	0.144413	0.137322	43.4645s	3.125e-05
504	0.144437	0.137386	41.9676s	3.125e-05
505	0.144149	0.137197	41.9313s	3.125e-05
506	0.144675	0.137323	41.4464s	3.125e-05
507	0.14494	0.137205	42.1384s	3.125e-05
508	0.144635	0.137475	41.8703s	3.125e-05
509	0.14471	0.137442	42.2482s	1.5625e-05
510	0.144307	0.137398	41.8828s	1.5625e-05
511	0.144479	0.137372	41.8537s	1.5625e-05
512	0.144482	0.137288	42.861s	1.5625e-05
513	0.144343	0.137194	41.9422s	1.5625e-05
514	0.144465	0.137338	41.9451s	1.5625e-05
515	0.144643	0.137488	42.3034s	1.5625e-05
516	0.144501	0.137333	42.2088s	1.5625e-05
517	0.144329	0.137535	41.7966s	1.5625e-05
518	0.144407	0.137197	42.4592s	1.5625e-05
519	0.144033	0.137223	41.738s	1.5625e-05
520	0.144527	0.137273	41.7189s	1.5625e-05
521	0.144127	0.137357	41.159s	1.5625e-05
522	0.144343	0.137233	42.0533s	1.5625e-05
523	0.14429	0.137169	42.1672s	1.5625e-05
524	0.144522	0.137477	42.1654s	1.5625e-05
525	0.144591	0.137304	42.1974s	1.5625e-05
526	0.144522	0.137187	42.0679s	1.5625e-05
527	0.144472	0.137321	42.3674s	1.5625e-05
528	0.144783	0.137374	41.0833s	1.5625e-05
529	0.144519	0.137246	42.0281s	1.5625e-05
530	0.144926	0.137337	41.7512s	1.5625e-05
531	0.144462	0.137267	41.7622s	1.5625e-05
532	0.144561	0.137344	41.7308s	1.5625e-05
533	0.144208	0.137193	42.5394s	1.5625e-05
534	0.144303	0.137424	42.7828s	1.5625e-05
535	0.144726	0.137241	41.9932s	1.5625e-05
536	0.144846	0.137507	41.8871s	1.5625e-05
537	0.14428	0.13716	41.9417s	1.5625e-05
538	0.144798	0.137279	41.7186s	1.5625e-05
539	0.144644	0.137313	41.9944s	1.5625e-05
540	0.144581	0.137245	42.1862s	1.5625e-05
541	0.144504	0.137431	42.0929s	1.5625e-05
542	0.14433	0.137147	41.6528s	1.5625e-05
543	0.144726	0.137365	42.0555s	1.5625e-05
544	0.144676	0.137453	41.7789s	1.5625e-05
545	0.144091	0.137358	41.9007s	1.5625e-05
546	0.144491	0.137289	42.0927s	1.5625e-05
547	0.144454	0.137273	42.6718s	1.5625e-05
548	0.144465	0.137453	41.6373s	1.5625e-05
549	0.144559	0.137155	41.8915s	1.5625e-05
550	0.144511	0.13732	41.9129s	1.5625e-05
551	0.144162	0.137198	41.7207s	1.5625e-05
552	0.144126	0.137106	41.6874s	1.5625e-05
553	0.144679	0.137296	41.7677s	1.5625e-05
554	0.145061	0.137241	43.082s	1.5625e-05
555	0.144276	0.137134	42.1078s	1.5625e-05
556	0.144323	0.137117	42.1283s	1.5625e-05
557	0.144481	0.137224	41.7701s	1.5625e-05
558	0.144385	0.137105	42.0179s	1.5625e-05
559	0.144397	0.137185	41.7472s	1.5625e-05
560	0.144381	0.13711	43.0157s	1.5625e-05
561	0.144519	0.137172	42.6968s	1.5625e-05
562	0.144272	0.137324	41.986s	1.5625e-05
563	0.145	0.137249	42.0053s	1.5625e-05
564	0.144708	0.137132	41.633s	1.5625e-05
565	0.14467	0.137089	41.4262s	1.5625e-05
566	0.144537	0.137224	41.5901s	1.5625e-05
567	0.144455	0.137289	42.435s	1.5625e-05
